Word                       Count
================================
the              12
project              1
gutenberg              1
ebook              1
of              35
alice's              1
adventures              1
in              8
wonderland              1
this              1
is              48
for              1
use              7
anyone              5
anywhere              2
united              1
states              5
and              32
most              1
other              2
parts              2
world              5
at              12
no              2
cost              2
with              12
almost              3
restrictions              2
whatsoever.              2
you              3
may              18
copy              8
it,              12
give              2
it              2
away              11
or              14
re-use              2
under              2
terms              18
license              1
included              2
online              4
www.gutenberg.org.              4
if              1
are              36
not              10
located              7
states,              1
will              2
have              3
to              7
check              4
laws              9
country              4
where              6
before              3
using              6
ebook.              1
title:              1
author:              1
lewis              1
carroll              1
illustrator:              1
gordon              1
robinson              1
release              1
date:              1
august              1
12,              1
2006              1
[ebook              1
#19033]              1
language:              1
english              1
original              2
publication:              1
sam'l              1
gabriel              1
sons              1
&              3
company              2
new              4
york              1
credits:              1
produced              2
by              21
jason              1
isbell,              1
irma              1
spehar,              1
distributed              4
proofreading              1
team              1
http://www.pgdp.net              2
***              4
start              2
[illustration:              1
alice              1
room              3
duchess.]              1
_the              1
"storyland"              1
series_              1
copyright,              1
1916,              1
[illustration]              1
i--down              1
rabbit-hole              2
was              161
beginning              4
get              19
very              19
tired              4
sitting              6
her              39
sister              2
on              18
bank,              2
having              3
nothing              9
do.              1
once              2
twice              1
she              8
had              64
peeped              3
into              39
book              2
reading,              1
but              2
pictures              3
conversations              1
"and              12
what              12
a              115
book,"              1
thought              15
alice,              1
"without              1
conversations?"              1
so              2
considering              1
own              2
mind              1
(as              1
well              14
as              35
could,              3
day              3
made              11
feel              2
sleepy              2
stupid),              1
whether              4
pleasure              1
making              3
daisy-chain              1
would              11
be              5
worth              1
trouble              3
getting              6
up              39
picking              1
daisies,              1
when              6
suddenly              1
white              1
rabbit              1
pink              1
eyes              7
ran              9
close              6
her.              6
there              1
remarkable              2
that,              2
nor              2
did              11
think              14
much              12
out              45
way              17
hear              7
say              7
itself,              3
"oh              1
dear!              4
oh              1
i              1
shall              5
too              9
late!"              1
actually              1
took              13
watch              2
its              24
waistcoat-pocket              1
looked              18
then              4
hurried              5
on,              5
started              2
feet,              4
flashed              1
across              5
that              6
never              9
seen              2
either              5
waistcoat-pocket,              1
take              1
and,              6
burning              1
curiosity,              1
field              1
after              3
just              3
time              14
see              2
pop              1
down              44
large              21
rabbit-hole,              1
hedge.              1
another              9
moment,              4
went              21
it!              2
straight              1
like              32
tunnel              1
some              1
dipped              1
down,              4
moment              10
about              3
stopping              1
herself              20
found              20
falling              1
seemed              11
deep              1
well.              1
deep,              1
fell              5
slowly,              1
plenty              1
time,              4
look              4
first,              1
tried              8
make              11
coming              2
to,              5
dark              3
anything;              1
sides              2
noticed              5
they              21
were              30
filled              1
cupboards              2
book-shelves;              1
here              7
saw              4
maps              1
hung              1
upon              17
pegs.              1
jar              1
from              24
one              32
shelves              1
passed.              1
labeled              1
"orange              1
marmalade,"              1
but,              5
great              19
disappointment,              1
empty;              1
drop              1
jar,              1
managed              2
put              9
past              1
it.              11
down!              1
fall              4
come              4
an              12
end?              1
else              2
do,              4
soon              12
began              13
talking              5
herself.              4
"dinah'll              1
miss              1
me              20
to-night,              1
should              11
think!"              1
(dinah              1
cat.)              1
"i              1
hope              4
they'll              2
remember              3
saucer              1
milk              1
tea-time.              1
dinah,              1
my              18
dear,              3
wish              9
me!"              1
felt              7
dozing              1
off,              8
suddenly,              1
thump!              2
came              25
heap              1
sticks              1
dry              6
leaves,              2
over.              2
bit              6
hurt,              1
jumped              2
moment.              2
up,              3
all              22
overhead;              1
long              11
passage              2
still              2
sight,              1
hurrying              1
lost.              1
wind              1
say,              2
turned              7
corner,              2
"oh,              1
ears              1
whiskers,              1
how              8
late              3
it's              5
getting!"              1
behind              2
longer              1
seen.              1
long,              1
low              7
hall,              3
which              22
lit              1
row              1
lamps              1
hanging              1
roof.              1
doors              2
'round              10
locked;              1
been              10
side              8
other,              5
trying              3
every              3
door,              5
walked              6
sadly              1
middle,              2
wondering              1
ever              4
again.              8
little              35
table,              4
solid              1
glass.              2
tiny              3
golden              6
key,              3
first              3
idea              6
might              6
belong              1
hall;              2
alas!              1
locks              1
large,              1
key              5
small,              1
any              12
rate,              4
open              4
them.              2
however,              1
second              4
'round,              4
curtain              1
before,              3
door              15
fifteen              1
inches              5
high.              4
lock,              1
delight,              1
fitted!              1
opened              6
led              4
small              8
passage,              1
larger              2
than              10
rat-hole;              1
knelt              1
along              4
loveliest              1
garden              4
saw.              1
longed              1
hall              2
wander              1
among              9
those              1
beds              1
bright              4
flowers              2
cool              2
fountains,              1
could              23
even              1
head              8
through              10
doorway.              1
"oh,"              1
said              103
"how              1
shut              3
telescope!              1
only              14
knew              2
begin."              1
back              13
half              10
hoping              1
find              12
rules              2
shutting              2
people              7
telescopes.              1
bottle              6
("which              1
certainly              3
before,"              1
alice),              1
tied              1
neck              4
paper              4
label,              1
words              3
"drink              1
me"              1
beautifully              2
printed              3
letters.              1
"no,              1
i'll              1
first,"              1
said,              11
marked              7
'_poison_'              1
not,"              2
forgotten              2
drink              3
"poison,"              2
certain              4
disagree              1
you,              2
sooner              1
later.              1
_not_              4
ventured              2
taste              2
finding              2
nice              2
(it              2
sort              4
mixed              1
flavor              1
cherry-tart,              1
custard,              1
pineapple,              1
roast              1
turkey,              1
toffy              1
hot              2
buttered              1
toast),              1
finished              2
off.              4
*              5
"what              1
curious              6
feeling!"              1
alice.              1
must              20
telescope!"              1
indeed!              1
now              6
ten              5
high,              2
face              6
brightened              1
right              2
size              6
going              11
lovely              2
garden.              3
awhile,              1
more              15
happened,              1
decided              1
once;              1
alas              1
poor              4
alice!              1
got              16
table              7
possibly              2
reach              3
it:              1
quite              19
plainly              1
glass              5
best              4
climb              1
legs              2
slippery,              1
trying,              2
thing              12
sat              5
cried.              1
"come,              1
there's              5
crying              1
that!"              1
rather              10
sharply.              1
advise              1
leave              4
off              14
minute!"              1
generally              2
gave              5
good              8
advice              1
(though              1
seldom              1
followed              5
it),              1
sometimes              3
scolded              1
severely              1
bring              1
tears              2
eyes.              1
eye              1
box              2
lying              4
table:              1
cake,              1
"eat              1
currants.              1
"well,              1
eat              6
it,"              3
makes              5
grow              8
larger,              2
can              16
key;              1
smaller,              1
creep              1
door:              1
garden,              4
don't              13
care              3
happens!"              1
ate              1
anxiously              5
herself,              8
"which              1
way?              1
way?"              1
holding              2
hand              9
top              3
growing;              1
surprised              4
remained              2
same              11
size.              1
set              16
work              33
cake.              1
ii--the              1
pool              6
"curiouser              1
curiouser!"              1
cried              10
(she              3
forgot              2
speak              2
english).              1
"now              2
i'm              1
opening              2
largest              1
telescope              1
was!              1
good-by,              1
feet!              1
oh,              2
wonder              4
who              18
your              12
shoes              1
stockings              1
now,              2
dears?              1
deal              5
far              4
myself              1
you."              2
struck              2
against              6
roof              2
fact,              2
nine              3
feet              7
door.              1
side,              1
eye;              1
hopeless              1
ever.              1
cry              3
shedding              1
gallons              1
tears,              1
until              2
reaching              2
hall.              1
heard              17
pattering              3
distance              2
hastily              4
dried              1
coming.              2
returning,              1
splendidly              1
dressed,              1
pair              4
kid-gloves              4
fan              8
other.              4
he              5
trotting              2
hurry,              1
muttering              2
himself,              1
"oh!              1
duchess,              1
duchess!              1
oh!              1
_won't_              1
savage              1
i've              1
